best_params,horizon,loss_section,method,tuning_objective
"{'eta': 0.04000975920197938, 'kappa': 7.788171024743676}",1.0,mse,MWUMConcOnlyKL,0.9443016286381749
"{'eta': 0.01889879259941431, 'kappa': 7.908550293895121}",1.0,mse,OGDConcOnly,0.9469512598749436
{},1.0,mse,Mean,0.9508282742933337
"{'eta': 2.5332277751016674, 'kappa': 0.25608619358030765}",4.0,mse,MWUMConcOnlyKL,2.311522784364965
"{'eta': 2.99138715807153, 'kappa': 1.102821750702496}",4.0,mse,MWUMBothKL,2.431739014294856
"{'eta': 0.03288929935310459, 'kappa': 2.6338496245322305}",4.0,mse,OGDBoth,2.5811956326715024
{'eta': 0.033110894270227446},4.0,mse,OGDVanilla,2.614810380977775
"{'eta': 0.0017461524219968072, 'kappa': 2.672302940624942}",4.0,mse,OGDConcOnly,2.6683625145544543
{'eta': 0.01975905899018788},4.0,mse,MWUMVanilla,3.2175799227502355
{},4.0,mse,Median,3.263253206160238
{},4.0,mse,Mean,3.3076637738264623
"{'eta': 0.2788500263129488, 'kappa': 0.2566672788130432}",8.0,mse,MWUMConcOnlyKL,2.9392786590445903
"{'eta': 2.958728127774368, 'kappa': 1.0504226437089312}",8.0,mse,MWUMBothKL,3.0407156314546966
"{'eta': 0.014286069428104169, 'kappa': 0.16207531409816334}",8.0,mse,OGDBoth,3.5638050643010213
{'eta': 0.013709098506762857},8.0,mse,OGDVanilla,3.5662427730061297
"{'eta': 0.003111324209734068, 'kappa': 2.8861943489415576}",8.0,mse,OGDConcOnly,3.7932315911265784
{'eta': 2.6029134173667132},8.0,mse,MWUMVanilla,4.388585424780673
{},8.0,mse,Median,4.740030592316158
{},8.0,mse,Mean,4.908320973470071
"{'eta': 0.00101304054543293, 'kappa': 0.3899850486690072}",12.0,mse,MWUMConcOnlyKL,3.4487659399532635
"{'eta': 2.843430420578867, 'kappa': 1.0142758538843601}",12.0,mse,MWUMBothKL,3.4731861965214987
{'eta': 0.01827768712294998},12.0,mse,OGDVanilla,3.976229854691315
"{'eta': 0.01215987631711129, 'kappa': 0.0989663609647008}",12.0,mse,OGDBoth,3.978413019850528
"{'eta': 0.014079560374888169, 'kappa': 4.010979390115764}",12.0,mse,OGDConcOnly,4.34857388826024
{'eta': 2.982516071321349},12.0,mse,MWUMVanilla,4.587895941197879
{},12.0,mse,Median,5.453022720982241
{},12.0,mse,Mean,5.8001383877876185
"{'eta': 2.9357362194141925, 'kappa': 1.0888117734596037}",16.0,mse,MWUMBothKL,3.496513334662559
"{'eta': 0.09144980051494536, 'kappa': 0.6844309040048098}",16.0,mse,MWUMConcOnlyKL,3.5299935568909127
"{'eta': 0.012983864331779041, 'kappa': 0.006732091027269829}",16.0,mse,OGDBoth,3.886420629650169
{'eta': 0.013414959603400153},16.0,mse,OGDVanilla,3.8962506741288143
"{'eta': 0.312301621784129, 'kappa': 6.118689835319779}",16.0,mse,OGDConcOnly,4.548301695532349
{'eta': 0.018548968572003697},16.0,mse,MWUMVanilla,4.734335734463306
{},16.0,mse,Median,5.761274747286253
{},16.0,mse,Mean,6.300688029265904
